Model,Best Params,Class,Precision,Recall,F1 Score
Gradient Boosting,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1}",0,0.0,0.0,0.0
Gradient Boosting,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1}",1,0.7,1.0,0.82
